Region,Sub-region,Country,Year,Measure Names,Measure Values
Africa,Eastern Africa,Madagascar,2014,Rate,3.785518379
Africa,Eastern Africa,Kenya,2014,Rate,11.100628136
Africa,Eastern Africa,Burundi,2014,Rate,12.850074373
Africa,Eastern Africa,United Republic of Tanzania,2014,Count,22
Africa,Eastern Africa,Uganda,2014,Count,13676
Africa,Eastern Africa,Madagascar,2014,Count,893
Africa,Eastern Africa,Kenya,2014,Count,5184
Africa,Eastern Africa,Burundi,2014,Count,1265
Africa,Eastern Africa,United Republic of Tanzania,2015,Rate,0.101004921
Africa,Eastern Africa,Madagascar,2015,Rate,4.600958650
Africa,Eastern Africa,Kenya,2015,Rate,12.874297647
Africa,Eastern Africa,United Republic of Tanzania,2015,Count,52
Africa,Eastern Africa,Madagascar,2015,Count,1115
Africa,Eastern Africa,Kenya,2015,Count,6164
Africa,Eastern Africa,Uganda,2016,Rate,49.302419193
Africa,Eastern Africa,Kenya,2016,Rate,12.696851658
Africa,Eastern Africa,Uganda,2016,Count,19548
Africa,Eastern Africa,Kenya,2016,Count,6228
Africa,Eastern Africa,Kenya,2017,Rate,10.935631701
Africa,Eastern Africa,Kenya,2017,Count,5492
Africa,Middle Africa,Sao Tome and Principe,2006,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2006,Count,0
Africa,Middle Africa,Sao Tome and Principe,2007,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2007,Count,0
Africa,Middle Africa,Sao Tome and Principe,2008,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2008,Count,0
Africa,Middle Africa,Sao Tome and Principe,2009,Rate,0
Africa,Middle Africa,Cameroon,2009,Rate,6.917663134
Africa,Middle Africa,Sao Tome and Principe,2009,Count,0
Africa,Middle Africa,Cameroon,2009,Count,1369
Africa,Middle Africa,Sao Tome and Principe,2010,Rate,0
Africa,Middle Africa,Cameroon,2010,Rate,10.092796703
Africa,Middle Africa,Sao Tome and Principe,2010,Count,0
Africa,Middle Africa,Cameroon,2010,Count,2053
Africa,Middle Africa,Sao Tome and Principe,2011,Rate,0
Africa,Middle Africa,Cameroon,2011,Rate,11.398428901
Africa,Middle Africa,Sao Tome and Principe,2011,Count,0
Africa,Middle Africa,Cameroon,2011,Count,2383
Africa,Middle Africa,Cameroon,2012,Rate,9.280777016
Africa,Middle Africa,Cameroon,2012,Count,1994
Africa,Middle Africa,Cameroon,2013,Rate,3.048380010
Africa,Middle Africa,Cameroon,2013,Count,673
Africa,Middle Africa,Cameroon,2014,Rate,3.099394450
Africa,Middle Africa,Cameroon,2014,Count,703
Africa,Northern Africa,Morocco,2003,Rate,2.776763026
Africa,Northern Africa,Morocco,2003,Count,827
Africa,Northern Africa,Morocco,2004,Rate,1.972425885
Africa,Northern Africa,Morocco,2004,Count,594
Africa,Northern Africa,Morocco,2005,Rate,3.050346144
Africa,Northern Africa,Morocco,2005,Count,929
Africa,Northern Africa,Morocco,2006,Rate,7.281358780
Africa,Northern Africa,Egypt,2006,Rate,0.200328669
Africa,Northern Africa,Algeria,2006,Rate,10.421803626
Africa,Northern Africa,Morocco,2006,Count,2243
Africa,Northern Africa,Egypt,2006,Count,154
Africa,Northern Africa,Algeria,2006,Count,3506
Africa,Northern Africa,Morocco,2007,Rate,8.121636508
Africa,Northern Africa,Egypt,2007,Rate,0.216023802
Africa,Northern Africa,Algeria,2007,Rate,11.429163479
Africa,Northern Africa,Morocco,2007,Count,2531
Africa,Northern Africa,Egypt,2007,Count,169
Africa,Northern Africa,Algeria,2007,Count,3905
Africa,Northern Africa,Morocco,2008,Rate,8.114327353
Africa,Northern Africa,Egypt,2008,Rate,0.243608174
Africa,Northern Africa,Algeria,2008,Rate,11.338704197
Africa,Northern Africa,Morocco,2008,Count,2559
Africa,Northern Africa,Egypt,2008,Count,194
Africa,Northern Africa,Algeria,2008,Count,3938
Africa,Northern Africa,Morocco,2009,Rate,10.185069477
Africa,Northern Africa,Egypt,2009,Rate,0.245270863
Africa,Northern Africa,Algeria,2009,Rate,11.974343038
Africa,Northern Africa,Morocco,2009,Count,3252
Africa,Northern Africa,Egypt,2009,Count,199
Africa,Northern Africa,Algeria,2009,Count,4231
Africa,Northern Africa,Egypt,2010,Rate,0.206618461
Africa,Northern Africa,Algeria,2010,Rate,10.548273988
Africa,Northern Africa,Egypt,2010,Count,171
Africa,Northern Africa,Algeria,2010,Count,3795
Africa,Northern Africa,Egypt,2011,Rate,0.134864559
Africa,Northern Africa,Algeria,2011,Rate,10.602420418
Africa,Northern Africa,Egypt,2011,Count,114
Africa,Northern Africa,Algeria,2011,Count,3887
Africa,Northern Africa,Morocco,2012,Rate,8.823202043
Africa,Northern Africa,Morocco,2012,Count,2933
Africa,Northern Africa,Morocco,2013,Rate,12.833779861
Africa,Northern Africa,Algeria,2013,Rate,14.672206237
Africa,Northern Africa,Morocco,2013,Count,4327
Africa,Northern Africa,Algeria,2013,Count,5596
Africa,Northern Africa,Algeria,2014,Rate,7.751063684
Africa,Northern Africa,Algeria,2014,Count,3017
Africa,Northern Africa,Morocco,2015,Rate,10.048001348
Africa,Northern Africa,Algeria,2015,Rate,8.457506818
Africa,Northern Africa,Morocco,2015,Count,3483
Africa,Northern Africa,Algeria,2015,Count,3360
Africa,Northern Africa,Morocco,2016,Rate,8.025332607
Africa,Northern Africa,Morocco,2016,Count,2819
Africa,Northern Africa,Morocco,2017,Rate,11.289650788
Africa,Northern Africa,Morocco,2017,Count,4017
Africa,Southern Africa,South Africa,2014,Rate,98.300130280
Africa,Southern Africa,Botswana,2014,Rate,131.665947691
Africa,Southern Africa,South Africa,2014,Count,53617
Africa,Southern Africa,Botswana,2014,Count,2750
Africa,Southern Africa,South Africa,2015,Rate,93.696337204
Africa,Southern Africa,South Africa,2015,Count,51895
Africa,Southern Africa,South Africa,2016,Rate,88.350962903
Africa,Southern Africa,South Africa,2016,Count,49660
Africa,Southern Africa,South Africa,2017,Rate,87.893737475
Africa,Southern Africa,South Africa,2017,Count,50108
Africa,Western Africa,Sierra Leone,2007,Rate,11.603366546
Africa,Western Africa,Nigeria,2007,Rate,1.055760558
Africa,Western Africa,Guinea,2007,Rate,0.346705702
Africa,Western Africa,Cote d'Ivoire,2007,Rate,4.475451522
Africa,Western Africa,Sierra Leone,2007,Count,695
Africa,Western Africa,Nigeria,2007,Count,1545
Africa,Western Africa,Guinea,2007,Count,33
Africa,Western Africa,Cote d'Ivoire,2007,Count,858
Africa,Western Africa,Sierra Leone,2008,Rate,10.157168736
Africa,Western Africa,Nigeria,2008,Rate,0.904374537
Africa,Western Africa,Cote d'Ivoire,2008,Rate,3.652023379
Africa,Western Africa,Sierra Leone,2008,Count,623
Africa,Western Africa,Nigeria,2008,Count,1359
Africa,Western Africa,Cote d'Ivoire,2008,Count,716
